Placa,Ano,Modelo
AFV9088,1996,CORSA
AFV9626,1985,SANTANA
AFW1375,1995,TEMPRA OURO 16V
AFW1485,1995,MONZA GLS
AFW1703,1995,R113 H 4X2 360
AFW2961,1995,LS
AFW3092,1996,CORSA
AFW3487,1996,CORSA
AFW4236,1996,SANTANA
AFW4239,1996,R113
AFW4373,1995,CG
AFW4745,1978,FUSCA 1300
AFW5454,2006,FOX
AFW5672,1977,F100
AFW5865,1995,NX
AFW6497,1995,CARGO
AFW7122,1986,SANTANA GLS
AFW8748,1984,T112
AFW8778,2008,ASTRA
AFW8941,1995,LS
AFW9875,1970,RURAL WILLYS
AFW9900,1994,OMEGA GLS
AFX0048,2009,STRALISHD
AFX0458,1996,CORSA
AFX0709,2006,FUSION
AFX1196,1996,CORSA WIND
AFX1227,2011,R
AFX5011,2010,OMEGA
AFX5445,1996,ESCORT 1.0 HOBBY
AFX5550,1999,PARATI
AFX6230,1977,VARIANT
AFX9176,1996,CORSA WIND
AFX9405,1996,GOL
AFX9562,1995,GOL CLI
AFX9656,1996,TEMPRA
AFX9797,2010,24.25
AFY0211,2008,206
AFY0869,1996,CORSA WIND
AFY0883,1995,LS 1935
AFY1409,1996,CORSA
AFY2514,1974,CHEVETTE
AFY3736,1996,MONZA GLS
AFY4956,1996,CORSA
afy4957,1996,16.17
AFY5006,2012,FLUENCE
AFY5356,1995,35.3
AFY7796,1995,FIESTA
AFY7915,1996,CORSA WIND
AFY9063,1995,ESCORT
AFY9679,1995,ESCORT
AFZ0043,2005,FAZER
AFZ0181,2008,FZ6
AFZ1292,1996,CORSA
AFZ1912,1995,LS
AFZ2302,1995,LS
AFZ2304,1996,CORSA WIND
AFZ2338,1995,LS
AFZ2403,1995,CORSA WIND
AFZ2523,1995,LS 1935
AFZ2683,1995,NL
AFZ2710,1989,GOL CL
AFZ3890,1989,7.9
AFZ3969,1995,L
AFZ4132,1982,MERCEDES BENZ
AFZ4312,1996,GOL 1000I
AFZ4451,1996,LS
AFZ5454,2012,19.33
AFZ5618,1996,KADETT
AFZ5622,1990,APOLLO
AFZ5623,1995,VW GOLF GL
AFZ6574,1989,SANTANA CL
AFZ6959,1996,UNO
AFZ6J59,1996,UNO MILLE EP
AFZ7149,1996,ELBA 1.6 IE
AFZ7171,2008,PUNTO
AFZ8703,1995,P93H
AFZ9290,1996,KADETT GL
AFZ9380,1996,CY
AGA0089,2004,1938
AGA0095,2003,FH12
AGA0131,2004,206
AGA0536,1996,UNO MILLE EP
AGA0923,1980,L 1513
AGA1004,2005,XTRAIL
AGA1275,1996,KADETT
AGA1932,1996,UNO
AGA2968,1996,KOMBI PICK UP
AGA4242,1999,P124
AGA5111,2010,24.25
AGA6097,1996,VIVAN
AGA6103,1987,T142
AGA6800,1996,1214
AGA6905,1995,12.14
AGA7586,1989,16210
AGA7666,2010,MMC
AGA9010,1996,KADETT IPANEMA GL
AGA9495,1987,KOMBI FURGAO
AGB0036,2002,C100
AGB0203,2000,ASTRA
AGB1535,1996,MONZA GLS
AGB1787,1995,ESPERO
AGB1894,1988,QUANTUM
AGB2668,1986,PASSAT
AGB3166,1996,UNO
AGB4001,2004,PARATI
AGB5392,1996,FORD ESCORT 1.8I GL
AGB6309,1989,T112
AGB6361,1996,CORSA
AGB6966,1970,L
AGB8646,1977,PASSAT
AGB9740,1996,T113 H 4X2 360
AGC0050,1991,MONZA SL
AGC0216,2004,C3
AGC0691,1980,BANDEIRANTE
AGC0941,1989,KRONE
AGC0999,1995,GOL ROLLING STONES
AGC1104,1977,KOMBI
AGC1336,2008,FUSION
AGC1771,2005,GOL
AGC2029,1996,FORD ESCORT 1.8I GL
AGC3429,1996,CORSA
AGC3727,2006,FIESTA
AGC4760,1996,SCHIFFER
AGC4845,1996,KADETT GL
AGC4996,1996,CORSA
AGC5759,1996,UNO
AGC5873,1986,N
AGC6121,1996,PALIO EL
AGC7149,1996,KADETT GL
AGC7563,1986,PREMIO CS 1.3
AGC7847,1996,ESCORT
AGC7991,1996,L
AGC8608,1996,UNO MILLE IE
AGC8869,1996,T113
AGC8881,2009,VECTRA
AGC8901,1996,PALIO EL
AGD0246,1996,CORSA GL
AGD0291,1996,L
AGD0374,1995,PEUGEOT 205 XSI
AGD0375,1996,T113
AGD0407,2007,STILO
AGD0847,1996,CORSA
AGD1657,1995,709
AGD1687,1964,BANDEIRANTE
AGD1887,1996,CORSA
AGD2172,1971,FUSCA 1500
AGD2258,1986,GOL
AGD2626,2008,LOGAN
AGD3584,1996,GOL 1000
AGD3858,1996,KOMBI
AGD3G02,1996,KADETT
AGD4146,1995,VW
AGD4486,1996,KADETT GL
AGD4865,1996,ESCORT
AGD4995,1996,L
AGD5067,1996,GOL
AGD5660,1989,MONZA SL
AGD5714,1996,GOL 1000
AGD6446,2011,9.15
AGD6478,1996,FIORINO
AGD7561,1996,SR
AGD7731,1996,R113
AGD7772,2011,BRAVO
AGD7914,1996,SAVEIRO
AGD8336,1996,RANGER XL
AGD8383,2008,CIVIC
AGD8387,1996,UNO MILLE EP
AGD8865,1996,SANTANA GL 2000 I
AGD9545,1974,L
AGD9635,1996,VW GOLF GL
AGD9868,1970,L
AGE0058,1999,ASTRA
AGE0313,2006,313
AGE0771,2001,CELTA
AGE1523,2001,GOL
AGE1537,2001,MAREA
AGE2252,2001,FIESTA
AGE2424,2008,C4PIC
AGE2496,2002,CELTA
AGE3085,2001,PALIO
AGE3131,2006,307SD16
AGE4970,2001,PALIO
AGE4984,2002,BRCO
AGE4985,2002,CRGA
AGE4I27,2001,1938
AGE5050,1996,TIPO 1.6 MPI
AGE5172,2001,VT600C
AGE5266,2001,PALIO
AGE5894,2001,CORSA
AGE6167,2001,RANGER
AGE6454,2002,CORSA
AGE6549,2001,KIA
AGE6611,2007,GOL
AGE6688,2006,C3
AGE6845,2002,GOL
AGE6980,2001,GOL
AGE7142,2002,3M
AGE7196,2002,PARATI
AGE8334,2001,CARGO
AGE9231,2002,CELTA
AGE9273,2001,ASTRA
AGE9718,2002,GOL
AGF0085,2005,23.25
AGF0115,2005,24.250E
AGF0594,1996,UNO MILLE EP
AGF2172,1996,CG 125 TITAN
AGF2322,2004,23.22
AGF2330,1996,MONZA
AGF2404,1989,CHEVETTE
AGF2625,1996,NL12
AGF3908,1996,PARATI GLI 1.8
AGF5811,1986,BELINA II
AGF6229,1989,DEL REY BELINA GLX
AGF6556,2008,C4
AGF6699,1995,FIESTA
AGF7755,2007,BANDIT
AGF7913,2010,FIT
AGF8050,1996,T113
AGF8280,1973,F100
AGF8285,1980,OPALA
AGF9152,1996,PALIO EL
AGF9440,1996,PAMPA L
AGG0172,1981,L
AGG1493,1996,ESCORT
AGG3102,1996,SANTANA 2000 MI
AGG3211,1989,T112 HS 4X2
AGG3505,1996,MONZA
AGG4004,1998,RANGER
AGG4466,2007,NX-4
AGG4822,1988,T142
AGG5110,1996,NL10
AGG5627,1996,UNO
AGG5725,1978,L
AGG5793,1996,OMEGA
AGG6159,1979,BELINA II L
AGG6166,1996,KADETT GL
AGG6545,1996,KADETT
AGG6625,1996,GOL CLI
AGG6692,1996,P93H
AGG7009,2003,R124
AGG7511,1996,B10M 6X2
AGG7854,1980,PASSAT
AGG7856,1996,R113
AGG8115,1977,L
AGG8285,1996,NL10 320 4X2T EDC
AGG8460,1996,R113
AGG8550,1998,VECTRA
AGG8898,2000,CORSA
AGG8946,1996,LS
AGG9477,2008,CROSSFOX
AGG9879,1979,L111S
AGG9880,1996,B12
AGG9932,1983,L 1313
AGH0079,2008,207SW
AGH0613,1989,PARATI GL
AGH0896,1996,GOL I
AGH1273,1996,UNO
AGH1714,1991,CARGO
AGH1864,1985,PREMIO
AGH2165,1996,GOL CLI
AGH2186,1986,OPALA
AGH2190,1977,L111S
AGH2667,1996,CORSA WIND
AGH2970,1996,KOMBI PICK UP
AGH2998,1986,CHEVROLET A20
AGH3387,1996,OF
AGH4391,1996,CORSA
AGH4828,1975,FUSCA 1500
AGH5185,1979,POLARA
AGH5769,1996,GOL
AGH6224,1988,GOL
AGH7160,1996,CARGO
AGH7334,1995,L
AGH7350,1996,CORSA SUPER
AGH8512,1984,CG
AGH8960,1996,UNO
AGH9082,1996,CORSA WIND
AGH9442,1996,PALIO
AGH9514,1996,GOL I
AGH9548,1996,UNO MILLE SX
AGI0117,2001,CLIO
AGI0660,1996,GOL I PLUS
AGI0926,1996,CORSA WIND
AGI1166,2005,MONTANA
AGI1170,1996,S10 DELUXE
AGI1702,1989,KOMBI
AGI1879,1996,NL12
AGI1941,1987,ESCORT GL
AGI2376,1996,CORSA
AGI2390,1996,CORSA WIND
AGI3604,1977,KOMBI
AGI3619,1996,CORSA
AGI3895,1996,GOL ATLANTA
AGI6438,1996,CORSA
AGI6730,1996,PARATI
AGI7274,1996,S10
AGI7357,1996,CORSA
AGI7732,1989,OF
AGI7889,1975,MAVERICK
AGI8041,1993,TIPO
AGI8241,1989,PARATI GL
AGI8424,1996,CG
AGI9205,1987,GOL CL
AGI9245,1996,GOL CLI
AGI9606,1996,SANTANA
AGI9887,1996,GOL CLI
AGJ1101,2006,ASTRA
AGJ1439,1996,VW GOLF GL
AGJ1612,1996,RANGER XL
AGJ1790,1996,VW
AGJ2108,1976,PASSAT
AGJ2140,1980,L
AGJ2260,1990,B10M
AGJ2375,1996,CG
AGJ2400,2009,LOGAN
AGJ2491,1983,11.13
AGJ2679,1996,CG 125 TITAN
AGJ3019,1989,T112
AGJ4170,1995,ESCORT 1.6I GLX
AGJ4707,1996,GOL
AGJ5124,1996,SAVEIRO
AGJ5381,1996,CORSA
AGJ6117,1974,F100
AGJ6124,1996,KADETT GL
AGJ6225,2010,CHEVROLET
AGJ6238,1996,PARATI CLI
AGJ6688,2009,PUNTO
AGJ6690,1982,T112
AGJ7469,1996,CORSA SUPER
AGJ8778,2009,FIESTA
AGJ9518,1996,VERSAILLES
AGJ9559,2009,FOX
AGJ9993,2008,GOL
AGK0014,2004,ZAFIRA
AGK0578,1996,PALIO ED
AGK0691,1996,VERSAILLES 1.8 I GL
AGK0720,1996,CORSA WIND
AGK0833,2013,308
AGK0997,2010,307
AGK1106,2007,206
AGK1247,1996,F1000 4.9I
AGK2385,1982,RDZ 125
AGK2721,1996,TEMPRA
AGK5772,1987,F
AGK5945,1996,CARGO 1215
AGK6020,1978,L
AGK6043,1996,SANTANA 2000 MI EVID.
AGK6289,1996,GOL
AGK6J50,1989,7.90 S
AGK7275,1996,FIORINO
AGK7708,1996,CORSA
AGK7H38,1996,LS
AGK7H44,2012,VM
AGK8360,1996,GOL CLI
AGK9847,1967,FUSCA
AGL0033,1996,FIESTA
AGL0622,2004,ASTRA
AGL0648,1989,KADETT
AGL0806,1985,SAVEIRO
AGL0901,2001,MMC
AGL2250,1980,L
AGL2251,1983,CHEVETTE
AGL2482,1996,CG
AGL2675,1996,BLAZER
AGL2765,1985,BELINA
AGL2992,1996,GOL CLI
AGL3003,1992,ELBA
AGL3071,1996,CORSA
AGL3268,1996,CORSA WIND
AGL3499,1976,L111S
AGL4102,1996,CORSA SUPER
AGL5718,1996,GOL I PLUS
AGL6378,1996,CORSA
AGL6916,1996,PALIO
AGL6934,1996,KOMBI
AGL7503,1996,CORSA
AGL8127,1996,GOL
AGL8465,1996,PALIO
AGL8887,2007,VM
AGL9818,1996,GOL
AGM0525,1996,GOL
AGM0588,2003,ASTRA
AGM1295,1996,FORD ESCORT 2.0I R
AGM1531,1996,LS
AGM1600,1990,CHEVETTE
AGM1724,1996,SANTANA 2000 MI EVID.
AGM1935,1995,LS
AGM2489,1984,190
AGM2970,1996,QUANTUM
AGM2G58,1996,GOL I
AGM4070,1996,PALIO
AGM5159,1977,CARAVAN
AGM5206,1996,F1000
AGM5372,1996,KOMBI FURGAO
AGM5745,1996,GOL CLI
AGM5985,1996,CORSA WIND
AGM6665,1988,DEL
AGM6882,1996,CORSA WIND
AGM8322,1996,ESCORT
AGN0903,2009,FUSION
AGN1140,1996,SANTANA
AGN2175,1996,SANTANA 2000 MI
AGN2650,1996,GOL I
AGN2657,1996,CORSA SUPER
AGN3203,1996,CARGO
AGN4076,1996,FIESTA
AGN4098,1982,VOYAGE LS
AGN4983,1989,GOL
AGN5597,1996,VECTRA
AGN6020,1989,SANTANA GL
AGN6842,1996,KADETT
AGN7540,1996,FIESTA
AGN7714,1996,205
AGN8000,1993,VOYAGE SPORT 1.8
AGN8207,1985,L
AGN8516,1996,VW
AGN8593,1996,GM C20
AGN8789,1996,UNO MILLE SX
AGN8957,1996,LK
AGN9408,1980,VARIANT
AGN9694,1996,MERCEDES
AGN9957,1996,T113 H 4X2 360
AGN9990,1994,T113
AGO0301,1999,A 160
AGO0524,1996,L 1418
AGO0603,2002,GOLF 2.0
AGO0729,1996,CORSA GLS
AGO0838,1996,LS
AGO0912,1995,S10 DELUXE
AGO1177,2003,MERIVA
AGO1749,1996,CORSA
AGO2021,1996,UNO MILLE SX
AGO2873,1996,D20
AGO2984,1985,FORD
AGO3025,1996,PALIO EDX
AGO3475,1996,FIESTA
AGO4159,1996,CORSA
AGO4303,1988,CG
AGO4406,1982,R142
AGO4797,1996,CORSA
AGO4987,1996,GOL I
AGO5645,1996,TEMPRA 16V
AGO6008,2005,FIT
AGO6016,1988,GOL CL
AGO6563,1972,L
AGO6682,1996,OMEGA
AGO7130,1995,LS
AGO7537,1982,N12
AGO7931,1996,CORSA
AGO8292,1996,CY 50 JOG
AGO8296,1989,7.110 S
AGO8828,2011,POLO
AGO8846,1996,SANTANA
AGO9028,1996,PARATI
AGO9054,1996,GOL CL 1.6 MI
AGO9078,1996,GOL I
AGO9G54,1972,L 1113
AGP0084,2002,CORSA
AGP0114,1999,T114
AGP0901,2007,SENTRA
AGP1119,2008,AXOR
AGP2095,1994,UNO
AGP2414,1996,SANTANA
AGP3764,1993,T113
AGP3924,1996,FIESTA
AGP3994,1996,FIESTA
AGP4723,1996,PALIO ED
AGP5162,1996,PALIO
AGP5336,1996,CORSA
AGP5506,1996,FIESTA
AGP6752,1996,S10
AGP8741,1978,L 1113
AGP8981,1986,ML
AGP9049,1982,L
AGP9178,1996,FORD ESCORT GL 16V H
AGQ0125,1996,GOL 1.6 MI
AGQ0911,2011,FH
AGQ1094,1996,LS
AGQ1462,1996,UNO
AGQ1585,1996,GOL I
AGQ1925,1996,CG
AGQ3045,1996,FIESTA CLX
AGQ3187,1996,GOL
AGQ3540,1981,BANDEIRANTE
AGQ4117,1996,GOL I
AGQ4439,1987,L 1518
AGQ4843,1996,VECTRA
AGQ5025,1996,GOL
AGQ5757,2004,F250
AGQ6039,1996,CORSA
AGQ6125,1996,NL10
AGQ6612,1996,2418
AGQ7080,1986,L
AGQ7257,1996,CBX
AGQ7478,1996,NL10
AGQ7864,1996,NL10
AGQ8301,1975,L
AGQ8552,1996,PALIO EDX
AGQ8555,1996,PALIO ED
AGQ8594,1996,NL10
AGQ9160,1972,L
AGQ9506,1996,KADETT
AGQ9711,1996,CORSA WIND
AGQ9745,1996,CORSA
AGR0034,1996,PARATI
AGR0072,2000,A3
AGR0406,2002,L200
AGR0788,2003,23.31
AGR1437,1996,CORSA GLS
AGR1784,1995,TIPO
AGR1834,1996,VECTRA
AGR1961,1990,VERONA
AGR1G34,1996,CG
AGR2747,1996,NL12
AGR3230,1972,L 1113
AGR3522,1996,L
AGR4229,1996,L
AGR4731,1997,GOL PLUS MI
AGR5551,1997,CORSA SUPER
AGR5650,1979,L
AGR5695,1997,TIPO 1.6 MPI
AGR5914,1997,CORSA WIND
AGR6311,1997,VECTRA GLS
AGR6375,1997,PARATI CL 1.6 MI
AGR6488,2006,FIT
AGR6753,1996,GOL I
AGR7078,1997,UNO MILLE SX
AGR7201,1996,CARGO
AGR7355,1996,L 1620
AGR7388,1986,N10
AGR7491,1996,T113 H 4X2 360
AGR7570,1977,L 1113
AGR7871,1997,CORSA SUPER
AGR8297,1996,VW GOL CL 1.6 MI
AGR9016,1997,R113
AGR9292,2005,CIVIC
AGR9456,1997,KADETT
AGR9793,1996,OF
AGS0543,1996,GOL
AGS0943,1996,CARGO 4030
AGS1055,2002,S10
AGS1099,1999,LS
AGS1810,1996,PALIO
AGS1919,1996,S10
AGS1968,1968,KARMANN-GHIA
AGS2226,2005,STILO
AGS2265,1993,PREMIO
AGS3342,1986,PREMIO
AGS3855,1984,CHEVETTE
AGS4283,1996,SANTANA
AGS4988,1991,LK
AGS5252,2005,CARGO
AGS5508,1988,LS
AGS5634,1980,L
AGS6065,1996,OMEGA CD
AGS6506,1967,JEEP
AGS6548,1989,T112
AGS7081,1989,T112
AGS7117,1987,L
AGS7184,1996,L
AGS7370,1980,LT
AGS7628,1988,UNO S
AGS7880,1997,PALIO
AGS9299,1987,ESCORT
AGS9745,1997,FIESTA
AGS9989,1998,BLAZER DLX
AGT0606,2000,ASTRA
AGT1664,1972,BANDEIRANTE
AGT1801,1966,M.B./M.BENZ
AGT1B01,2001,GOLF
AGT2018,1989,GOL
AGT2463,1975,FUSCA
AGT4335,1981,L111S
AGT4442,2009,UNO
AGT4987,1978,CORCEL
AGT4988,1986,CHEVY
AGT5353,2009,C4
AGT5741,1978,CHEVETTE
AGT5744,1976,CARAVAN
AGT5E00,1999,R114
AGT7667,2008,MUSTANG
AGT7900,2002,1720
AGT7924,1964,F75
AGT8300,2002,L1622
AGT8400,2002,1720
AGT9856,1979,147
AGU0053,2008,SIENA
AGU0304,2003,206
AGU0501,2007,GOLF
AGU1008,1995,GM
AGU3751,1986,L 1317
AGU3999,2005,FIT
AGU4045,2011,31.32
AGU4309,1973,CORCEL
AGU4388,1977,L 1313
AGU4672,1985,L
AGU4840,1983,T112
AGU5455,1985,6.9
AGU5866,1987,L
AGU6456,1985,FORD
AGU6598,1987,T142 E 6X4
AGU7469,1979,L 1313
AGU7503,1977,L
AGU7790,1987,7.9
AGV0569,1994,R113
AGV1722,1997,FIESTA
AGV2117,1997,GOL
AGV3197,1996,TIPO
AGV3358,1997,NL12
AGV3386,1997,GOL PLUS MI
AGV3418,1997,GOL PLUS MI
AGV3924,1996,CORSA SUPER
AGV4273,1996,NL12
AGV4393,1996,NL12
AGV5166,1997,FIESTA
AGV5732,1997,NL12
AGV5997,1997,KOMBI
AGV6197,1997,QUANTUM
AGV6383,1996,T113
AGV6442,1997,GOL
AGV6605,1997,PALIO ED
AGV7063,1996,TEMPRA HLX 16V
AGV7452,1997,KADETT
AGV8592,1996,FIESTA
AGV9700,1999,PAJERO SPORT
AGW0057,2007,M.BENZ313CDI
AGW0865,1996,16.170 BT
AGW1036,1996,CUORE
AGW1077,1993,SANTANA GLS 2000
AGW1254,1974,PROTOTIPO
AGW1376,1997,GOL
AGW1620,1988,GOL
AGW1720,1985,T112
AGW1740,1996,L
AGW1944,2010,I30
AGW2124,1997,GOL
AGW2536,1996,H100
AGW3660,1997,CORSA WIND
AGW4674,1997,GOL
AGW4731,1997,VW
AGW6417,1997,FIESTA
AGW7117,1997,T113
AGW7152,1997,FORD ESCORT GLX 16VH
AGW7734,1997,LS
AGW7770,1995,CORSA GL
AGW7888,2011,HOWO
AGW7924,1997,PALIO EL
AGW8045,1997,VW
AGW8189,1997,T113
AGW8926,1975,CORCEL
AGW9009,1998,PARATI 16V
AGW9315,1997,PALIO
AGW9707,1981,GOL
AGW9802,1997,GOL
AGW9866,1986,KOMBI
AGX0313,2008,RAV4
AGX1384,1996,C100
AGX1723,1996,B12
AGX1992,1997,VECTRA GLS
AGX2336,1997,CORSA WIND
AGX2689,1997,PARATI
AGX3681,1997,VECTRA GLS
AGX4187,1996,CIVIC
AGX4793,1996,KADETT IPANEMA GL
AGX6475,1997,NL12
AGX6637,1997,CORSA WIND
AGX7200,2010,AXOR
AGX7639,1997,MBENZ
AGX8104,1997,GOL
AGX8231,1997,CORSA GL
AGX8738,1987,VOYAGE
AGX9168,1997,VECTRA
AGX9406,1997,CORSA
AGX9996,2012,UNO
AGY0430,1988,QUANTUM CL
AGY1934,1996,CLIO
AGY2244,2008,206
AGY2512,1986,RD
AGY2897,1997,GOL CL 1.6 MI
AGY3085,1981,L
AGY3321,1997,PALIO
AGY3900,2013,PALIO
AGY4365,1997,PALIO ED
AGY5224,1996,16.17
AGY5716,1997,CG
AGY6218,1974,VERANEIO
AGY6281,1997,FORD ESCORT GL 16V F
AGY6474,1997,GOL
AGY6759,1995,FH12
AGY7474,2006,CBR
AGY7716,1997,ESCORT
AGY7810,1997,PARATI CL 1.6 MI
AGY7826,1997,GOL MI
AGY8064,1997,VW
AGY8417,1997,FIESTA
AGZ0855,1984,F1000
AGZ2066,1997,TEMPRA
AGZ2740,1997,FIESTA
AGZ3191,1997,CORSA
AGZ3327,1997,PALIO
AGZ3488,1986,T112
AGZ3814,1994,FH12
AGZ4010,1988,O 371 R
AGZ4626,1997,FIESTA
AGZ5064,1997,PALIO
AGZ5490,1997,T113
AGZ5665,2003,ZAFIRA
AGZ5684,1997,CORSA SUPER
AGZ5916,1997,CORSA
AGZ6066,2002,1420
AGZ6216,1997,PARATI CL 1.8 MI
AGZ6959,1975,FUSCA
AGZ7802,1997,SAVEIRO CLI
AGZ8051,1997,L 1620
AGZ8449,1994,T113
AGZ8724,1997,CORSA SUPER
AGZ9002,2016,ETIOS
AGZ9062,1997,VECTRA
AGZ9452,1997,TEMPRA SX
AHA0015,1994,KADETT
AHA1150,2008,FUSION
AHA1338,2013,NOVA
AHA1406,1978,FUSCA
AHA1803,1996,CLIO RL
AHA1840,1997,CORSA
AHA2285,1997,CG
AHA2613,1997,SANTANA
AHA3874,1997,GOL MI
AHA4044,2011,L200
AHA4141,2009,SANDERO
AHA4503,1997,CARGO
AHA4714,1997,GOL
AHA5139,1997,FIESTA CLX
AHA5734,1997,PALIO
AHA6495,1997,R113
AHA6885,1975,BRASILIA
AHA7816,1997,PALIO EL
AHA8442,1997,BLAZER
AHA8499,1997,CIVIC EX
AHA8547,1997,TOYOTA HILUX 2CS
AHA8867,1994,14.22
AHA9298,1978,FUSCA
AHB0080,1994,VECTRA
AHB0291,1997,T113
AHB0979,1997,T113
AHB1312,1977,C10
AHB1635,1986,PREMIO S
AHB2056,1997,NL10 320 4X2T EDC
AHB2155,1997,ESCORT
AHB2231,1997,PALIO
AHB2371,1997,CORSA WIND
AHB2381,1997,CORSA WIND
AHB2583,1997,CBX
AHB3272,1997,LS
AHB3290,1997,RANGER
AHB4212,1997,PALIO
AHB5079,1997,TROPICAL
AHB5296,1997,VECTRA GL
AHB5631,1997,FIESTA
AHB5639,1997,VW GOLF GL 1.8 MI
AHB5651,1997,PALIO EDX
AHB6565,1997,FIESTA
AHB7206,1996,KIA
AHB7245,2009,TUCSON
AHB7336,1997,CBX
AHB7567,1997,CORSA
AHB7705,1997,VECTRA
AHB7798,1997,PALIO
AHB7888,2004,ECOSPORT
AHB8354,1995,COUPE
AHB8917,1997,CORSA GL
AHB8954,1986,VESPA PX 200 E
AHB8989,2011,AXOR
AHB9003,2010,VM
AHB9603,1997,L
AHB9A04,2011,FLUENCE
AHC0059,1999,COURIER SI
AHC0211,2008,SAVEIRO
AHC0258,1997,FIESTA CLX
AHC0535,1997,GOL
AHC0684,1997,GOL MI
AHC0689,1974,F350
AHC1026,1996,L80
AHC1304,1975,KOMBI
AHC2361,1997,B10M
AHC2384,1996,CLIO RL
AHC2633,1987,MONZA
AHC3396,1997,TEMPRA
AHC3770,1972,F-350-DEMAIS
AHC4059,1997,GOL
AHC4344,1991,L
AHC5015,1997,UNO
AHC5156,1997,T113
AHC6017,1997,310D SPRINTERF
AHC6986,1982,L
AHC7478,1997,GOL
AHC7630,1997,SANTANA
AHC8233,1997,GOL
AHC8253,1980,140
AHC8331,1996,RENAULT LAGUNA 2.0
AHC8355,1997,PALIO EL
AHC8616,1997,CG
AHC9096,2012,C3
AHC9451,1997,CORSA SUPER
AHC9832,1983,SPAZIO
AHD0194,1997,FIESTA
AHD0206,2004,R124
AHD0291,1974,60
AHD0330,1998,PALIO EX
AHD0389,1997,PALIO EDX
AHD1325,1997,GOL
AHD1503,1997,KA
AHD1812,1997,GOL
AHD2050,2007,FLSTC
AHD2534,1997,PALIO WEEKEND STILE
AHD3462,1997,GOL
AHD3606,1997,FIESTA
AHD4022,2008,AXOR
AHD4413,1997,FORD ESCORT GL 16V H
AHD4434,1997,CARGO
AHD4992,1997,FIESTA
AHD5507,1985,KOMBI
AHD5615,1997,CORSA WIND
AHD5848,1997,FORD ESCORT GL 16V F
AHD5997,1997,R113
AHD6042,1997,R113
AHD6061,2009,F150
AHD6336,2006,XL
AHD6473,1997,ESCORT
AHD6889,1997,P93H
AHD7002,2007,FLSTC
AHD7063,1997,BAND.
AHD7264,1997,GOL
AHD7447,2004,FLHRSI
AHD8027,1997,CLIO RL
AHD8575,1997,ESCORT
AHD8786,2010,SANDERO
AHD8860,1997,SAVEIRO CLI
AHD9346,1997,ESCORT
AHD9732,1997,SILVERADO
AHD9839,1997,LS
AHD9913,1978,BRASILIA
AHE0162,2013,S10
AHE0990,1997,GOL MI
AHE1462,1997,VECTRA
AHE1614,1997,16.22
AHE1615,1997,T113
AHE2204,1997,T113 H 4X2 360
AHE2223,1997,PALIO
AHE2518,1997,FIESTA
AHE2841,1997,CORSA
AHE3194,1997,KADETT
AHE3495,1997,NX
AHE4078,1997,CORSA
AHE4114,1997,PALIO
AHE4360,1997,GOL
AHE4449,2012,P
AHE4455,2011,BMB
AHE4742,1978,L 1113
AHE5086,1997,GOL
AHE5476,1997,KA
AHE5727,1997,NL12 360 4X2T EDC
AHE5907,1997,PALIO
AHE6587,1997,S10
AHE7271,1997,FIESTA
AHE8104,1997,FIESTA
AHE8197,1997,CORSA
AHE8238,1997,GOL
AHE8634,1997,GOL
AHE8909,2013,P
AHE8999,2013,P
AHE9214,1997,F1000
AHE9770,1997,VECTRA
AHF0047,2009,MMC
AHF0060,1999,SANTANA 2.0
AHF0779,2012,GOL
AHF1070,1997,KADETT
AHF1282,1988,MONZA SL
AHF1456,1976,CORCEL
AHF1870,1997,GOL
AHF1987,2008,CIVIC
AHF2216,1988,PICK-UP
AHF2459,1997,ESCORT GLX 16VF
AHF2710,1997,L
AHF2800,1996,BMW 328I CD21
AHF4556,1994,ESCORT
AHF5040,1994,VECTRA
AHF5343,1997,UNO MILLE SX
AHF5398,1997,CORSA
AHF5822,1997,SANTANA
AHF6064,1997,CARGO
AHF6278,1997,CARGO
AHF6833,1997,PALIO ED
AHF6849,1997,PALIO ED
AHF6885,1997,T113
AHF6940,1997,CORSA GL
AHF7131,1997,CORSA
AHF7139,1997,ESCORT
AHF7674,1997,KADETT
AHF8003,2012,GOL
AHF8004,2012,GOL
AHF8073,1997,PALIO ED
AHF8311,1997,L
AHF9413,1997,SCHIFFER
AHF9813,1997,PALIO EDX
AHG0088,2001,GSXR750
AHG0167,1997,CORSA
AHG0402,2002,ASTRA
AHG0607,2006,CLIO
AHG1249,1997,KA
AHG1705,1997,FIESTA
AHG1868,1997,CORSA
AHG2244,2009,C4
AHG2595,1997,T113
AHG2631,1997,T113 H 4X2 320
AHG3545,1997,FIESTA CLX
AHG4204,1987,LS
AHG5319,1969,1111
AHG5879,1997,L 1620
AHG5887,2017,R
AHG6358,1983,L
AHG6677,2013,ATEGO
AHG6777,2012,AXOR
AHG6936,1970,LAMBRETTA
AHG7243,1997,GOL
AHG7346,1986,R112 H 4X2
AHG7631,1997,TEMPRA
AHG7739,1997,UNO
AHG8151,1997,CORSA SUPER
AHG8646,1997,SR
AHG8685,1997,CORSA WIND
AHG8960,1997,PARATI
AHG9245,1997,GOL PLUS MI
AHG9361,1997,T113
AHG9535,1997,LS
AHH0373,1997,GOL
AHH0385,1975,L
AHH0952,1997,CORSA SUPER
AHH1276,1978,PASSAT
